Sample,Al,B,Ca,Cu,Fe,K,Mg,Mn,Na,P,S,Zn,Patch Size,Plant community,code
257,19322,19.6,10936,56.8,40749,5344,9385,945,862,1212,631,98.9,small,knapweed,S1K
258,17995,20.9,12326,78.5,37687,4830,7653,1026,816,1269,860,106.9,small,natural,S1P
259,18790,19.7,10766,55.2,39899,5227,9322,984,720,1218,630,86.5,small,knapweed,S2K
260,17252,15.1,11715,41.5,34219,4585,7388,996,757,1108,841,97.7,small,natural,S2P
261,19307,19.7,12110,83.1,46747,5146,8359,1220,438,1350,800,87.7,small,knapweed,S3K
262,17893,18.2,11466,50.3,42089,4151,6511,1307,647,1664,945,117.5,small,natural,S3P
263,17642,9.1,8148,34.8,36070,4972,8095,816,755,1136,412,74.9,small,knapweed,S4K
264,18654,11.7,8535,33.3,36294,5221,8228,856,931,1235,509,75.7,small,natural,S4P
265,17102,14.9,9834,53.4,37283,4270,14837,848,415,963,387,72.2,small,knapweed,S5K
266,16493,10.8,10691,48.4,33284,4208,8646,848,548,1036,599,75.2,small,natural,S5P
267,18009,11.4,10674,30.4,31169,3794,13432,757,902,1306,606,90.6,small,knapweed,S6K
268,16247,10.4,10449,32,30723,3851,12607,848,678,1213,554,100.9,small,natural,S6P
269,18985,7,9644,42.2,44020,5869,8719,851,495,1715,468,79.2,small,knapweed,S7K
270,19026,8.1,10287,43,43360,5680,7735,944,718,1448,487,93.7,small,natural,S7P
271,18547,18.6,10186,95,39185,4949,8400,867,851,1180,641,89.3,small,knapweed,S8K
272,18130,16.2,9613,38.3,36106,4368,6738,918,802,996,592,94.7,small,natural,S8P
273,17490,12.6,12301,64.2,37677,4481,11044,806,372,1415,707,78.2,small,knapweed,S9K
274,15986,21.8,13804,47.5,25716,3538,7597,683,720,1174,1105,95.4,small,natural,S9P
275,18455,13.1,9587,47.4,34357,4329,9460,827,695,987,556,73.4,small,knapweed,S10K
276,18508,10.7,10196,41.4,32601,3965,8406,935,1038,1034,609,82,small,natural,S10P
277,19699,14.8,11130,42.7,33980,4548,6507,935,801,1241,733,83.8,small,knapweed,S11K
278,18430,8.7,11207,49.4,34769,3890,6724,826,713,1139,628,67,small,natural,S11P
279,19759,12.5,11544,51.1,35650,4984,6773,948,742,1129,630,88.5,small,knapweed,S12K
280,18438,11.2,10251,42.3,31489,4470,5451,945,942,1131,593,81.9,small,natural,S12P
281,17684,11.1,9421,50.6,39645,4865,8877,861,620,1208,391,76,small,knapweed,S13K
282,19311,10.3,10551,43.6,40416,4283,9286,848,606,1247,519,77.8,small,natural,S13P
283,18951,10.1,9009,45.3,36027,5118,7869,858,879,1062,498,79.4,small,knapweed,S14K
284,18616,11.3,10229,39.4,35611,4433,6951,895,851,1097,533,83.7,small,natural,S14P
285,16668,11,11344,51.1,39986,4367,13679,824,515,1527,434,76.4,small,knapweed,S15K
286,16092,13.3,8956,35.7,34064,4776,9457,899,1037,1140,479,84,small,natural,S15P
287,20865,14.9,10546,54.2,37806,5258,7703,981,601,1029,472,81.1,small,knapweed,S16K
288,21667,10.6,11951,43.4,34924,4870,6434,970,1054,1323,698,79.6,small,natural,S16P
289,19330,12.8,10826,47.7,34957,4113,6598,827,542,1262,588,76.3,small,knapweed,S17K
290,18209,13.3,10874,41,32682,4527,6572,899,749,1006,533,80.7,small,natural,S17P
291,17892,10.5,9912,45.7,35814,4813,8012,927,834,1132,534,91,small,knapweed,S18K
292,18644,9.7,10899,41.4,32956,4830,6341,903,759,1222,653,99.9,small,natural,S18P
293,17753,7.1,12036,52.9,40539,4753,11411,819,503,1230,437,75.5,small,knapweed,S19K
294,18376,8.6,9565,41.1,39832,4399,10216,833,765,1319,375,78.8,small,natural,S19P
295,19393,8.5,11018,42.4,40613,6249,7170,926,763,1741,568,103.9,small,knapweed,S20K
296,20425,12.2,13656,63.7,49472,8016,10011,946,397,1546,512,83.9,small,natural,S20P
297,18436,13.6,13167,51.6,32426,5427,8086,943,521,1374,967,121.7,large,knapweed,L1K
298,15950,13.8,11509,42,27205,3817,6095,955,730,1592,1008,125.9,large,natural,L1P
299,17052,9.9,10104,46.1,39653,4279,8268,851,517,1221,387,78.2,large,knapweed,L2K
300,18294,11.2,11985,42.6,36546,4813,6943,909,623,1340,571,94.3,large,natural,L2P
301,18610,16.8,11793,54.5,41033,5040,17935,1028,383,1076,599,102.6,large,knapweed,L3K
302,16982,9.6,8596,35.2,38349,5143,11296,819,882,1403,567,80.7,large,natural,L3P
303,18960,14.8,12587,39.5,32169,4585,5919,912,866,1276,788,79.7,large,knapweed,L4K
304,18687,9.5,11081,37.8,31601,4545,6726,869,933,1092,542,77.1,large,natural,L4P
305,20116,10.7,12751,55.9,39034,4659,10084,873,808,1206,431,75.9,large,knapweed,L5K
306,17750,9.4,9918,41.9,28772,4600,5485,867,895,1031,655,84.5,large,natural,L5P
307,16780,7,9552,36.8,34351,5153,7418,919,781,1304,676,108,large,knapweed,L6K
308,17138,10.1,10020,39.4,39550,5238,11423,848,806,1417,539,88.8,large,natural,L6P
309,17404,7.5,11452,52.4,39517,5010,12502,816,342,1129,418,69.3,large,knapweed,L7K
310,18031,9.9,11637,49.4,38153,4565,10332,920,551,1127,636,85.3,large,natural,L7P
311,20685,15.6,12229,70.1,48346,4702,9365,1058,399,1245,511,88.2,large,knapweed,L8K
312,20271,18.7,11198,62.7,43798,4598,7987,1146,554,1167,550,106.5,large,natural,L8P
313,20402,11.3,10879,41.7,35454,4542,7204,925,577,1482,615,116.4,large,knapweed,L9K
314,17777,8.4,8920,42.3,38122,3968,12195,829,465,1047,367,78,large,natural,L9P
315,19849,26.3,10537,76.7,50041,4930,7317,1010,558,1233,575,97.4,large,knapweed,L10K
316,20338,23.4,11847,49,39799,4633,5959,977,657,1417,822,105.5,large,natural,L10P
317,25704,16.1,13405,82.3,49023,6887,13759,1141,407,1315,486,89.1,large,knapweed,L11K
318,22273,13.4,14029,68.2,40252,5925,10886,964,450,1132,565,81.8,large,natural,L11P
319,18135,5.7,10052,41.4,37709,5714,6935,806,604,1453,640,90.4,large,knapweed,L12K
320,18283,10,10115,34.3,32451,5855,6619,751,723,1476,688,104.9,large,natural,L12P
321,15622,7.8,8281,40,41458,4682,9588,848,436,1505,363,73.5,large,knapweed,L13K
322,17667,18.4,14111,45.1,31452,4186,9020,928,948,1306,833,110.8,large,natural,L13P
323,19559,17.5,11711,60.4,44783,4392,10842,981,433,1213,526,83.4,large,knapweed,L14K
324,18916,15.4,12890,48,38287,4302,9236,966,754,1405,771,84.7,large,natural,L14P
325,20818,11.4,11149,89.6,45668,4553,12927,900,321,1271,329,74.6,large,knapweed,L15K
326,18188,15.7,14651,49.4,31387,4380,7766,1004,948,1482,939,92.3,large,natural,L15P
327,22381,17.1,13643,102.7,40295,6875,9783,1247,1034,1347,635,94.5,large,knapweed,L16K
328,21636,15.7,13586,73.8,39890,6395,9572,981,1097,1289,674,95.2,large,natural,L16P
329,18830,21.8,12846,87,43308,4201,12698,907,398,1289,435,77.6,large,knapweed,L17K
330,21048,17.5,13829,97.1,42491,5185,12403,936,432,1290,331,82.2,large,natural,L17P
331,20422,14,10739,72.8,39502,5833,11568,878,428,936,385,84,large,knapweed,L18K
332,20264,20.6,12977,57.3,38302,5587,8709,1019,634,1318,767,92.8,large,natural,L18P
333,20438,28.8,10857,100,49368,5908,9724,1032,421,1440,618,106.3,large,knapweed,L19K
334,18458,33.5,9533,104.9,49310,5362,9811,1021,238,1359,468,103.2,large,natural,L19P
335,20713,12.1,11718,119.8,46515,4743,14616,1059,506,1411,427,92.6,large,knapweed,L20K
336,15551,20.4,13903,46.7,31661,4056,7558,921,649,1507,1220,125.5,large,natural,L20P
